Make,Model,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Price
Maruti Suzuki,Swift VXi [2014-2017],2019,17881,Petrol,Manual,Ranchi,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42,580000
Honda,City E [2013-2016],2014,48409,Petrol,Manual,Ranchi,White,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,450000
Maruti Suzuki,Alto 800 Vxi (Airbag),2020,40000,Petrol,Manual,Deoghar,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35,355000
Audi,Q3 35 TDI Premium + Sunroof,2017,61643,Diesel,Automatic,Dehradun,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64,2375000
Mercedes-Benz,C-Class Cabriolet C 300,2020,21000,Petrol,Automatic,Gurgaon,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686,1810,1409,4,59,6500000
Tata,Nexon XZ Plus Dark Edition,2022,1500,Petrol,Manual,Kolkata,Black,First,Individual,1199 cc,118 bhp @ 5500 rpm,170 Nm @ 1750 rpm,FWD,3993,1811,1606,5,44,1050000
Ford,Ecosport Ambiente 1.5L TDCi,2014,38985,Diesel,Manual,Noida,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998,1765,1647,5,52,445000
Honda,Jazz SV Petrol,2015,52000,Petrol,Manual,Noida,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955,1694,1544,5,40,495000
Hyundai,i10 Sportz 1.2 Kappa2,2011,42000,Petrol,Manual,Pune,Grey,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35,275000
Honda,Amaze 1.2 VX AT i-VTEC,2014,29442,Petrol,Automatic,Mumbai,Silver,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990,1680,1505,5,35,465000
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],2017,71800,Diesel,Manual,Lucknow,Black,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395,1818,1640,5,60,1050000
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],2022,5000,Petrol,Automatic,Delhi,White,First,Individual,1497 cc,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD,4686,1810,1442,5,66,4900000
Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,2020,18000,CNG,Manual,Ghaziabad,Green,First,Individual,1197 cc,68 bhp @ 6000 rpm,95 Nm @ 4000 rpm,FWD,3805,1680,1520,5,60,695000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,37000,Diesel,Automatic,Delhi,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80,3210000
Honda,City 1.5 S MT,2009,85000,Petrol,Manual,Mohali,White,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420,1695,1480,5,42,269000
Hyundai,Xcent E Plus CRDi,2018,65555,Diesel,Manual,Varanasi,White,Second,Individual,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43,445000
Land Rover,Evoque SE R-Dynamic,2021,35000,Diesel,Automatic,Delhi,Beige,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4371,1996,1649,5,66.5,5950000
BMW,X3 xDrive 20d Luxury Line [2018-2020],2018,87000,Diesel,Automatic,Raipur,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657,1881,1678,5,67,3800000
Hyundai,Creta 1.6 SX Plus AT Petrol,2018,42000,Petrol,Automatic,Kolkata,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60,1000000
Mahindra,Scorpio S11 4WD 7 STR,2018,68000,Diesel,Manual,Ludhiana,White,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456,1820,1995,7,60,1490000
MG,Astor Sharp EX 1.5 MT,2022,600,Petrol,Manual,Kolkata,Orange,First,Individual,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD,4323,1809,1650,5,48,1550000
Tata,Grande GX,2011,192326,Diesel,Manual,Ranchi,White,Third,Individual,2179 cc,120@4000,250@1500,,4421,1780,1940,7,65,199000
Toyota,Innova 2.0 V,2013,82000,Petrol,Manual,Varanasi,Gold,UnRegistered Car,Individual,1998 cc,136@5600,182@4000,,4555,1770,1755,8,55,575000
Toyota,Etios Liva VD Dual Tone,2017,86006,Diesel,Manual,Gurgaon,White,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3884,1695,1510,5,45,484999
Honda,City SV Diesel,2014,75000,Diesel,Manual,Kanpur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40,425000
Mahindra,Scorpio S10,2014,99000,Diesel,Manual,Ludhiana,Silver,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456,1820,1995,8,60,1150000
Skoda,Superb L&K TSI AT,2021,21651,Petrol,Automatic,Mumbai,Blue,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4861,1864,1483,5,66,3195000
Hyundai,i20 Active 1.4 SX,2016,84000,Diesel,Manual,Aurangabad,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995,1760,1555,5,45,725000
Mercedes-Benz,M-Class ML 350 CDI,2014,65000,Diesel,Automatic,Chandigarh,White,Second,Individual,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804,2141,1796,5,70,2450000
Maruti Suzuki,Ciaz Zeta 1.4 AT,2017,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490,1730,1485,5,43,741000
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],2022,17000,Diesel,Automatic,Surat,Grey,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063,1860,1494,5,80,7350000
Mahindra,Thar AX 6-STR Soft Top Diesel MT,2020,28000,Diesel,Manual,Delhi,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985,1820,1920,6,57,1550000
Honda,City S Diesel,2015,64000,Diesel,Manual,Raipur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40,645000
Honda,City SV Diesel,2014,85000,Diesel,Manual,Jaipur,Silver,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40,550000
Maruti Suzuki,Baleno Alpha 1.2 AT,2017,35000,Petrol,Automatic,Mumbai,Blue,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,595000
Volvo,V40 Cross Country D3,2015,44000,Diesel,Automatic,Mumbai,Blue,First,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370,1783,1458,5,60,1595000
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],2017,32000,Petrol,Automatic,Chennai,Orange,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715,1635,1565,5,35,500000
Maruti Suzuki,Wagon R LXI ABS,2016,49857,Petrol,Manual,Faridabad,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,345000
Maruti Suzuki,Wagon R VXI+,2013,46000,Petrol,Manual,Varanasi,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636,1475,1670,5,35,299000
Maruti Suzuki,Wagon R LXi Minor,2008,50000,Petrol,Manual,Varanasi,Silver,Second,Individual,1061 cc,67@6200,84@3500,FWD,3520,1475,1690,5,35,160000
Maruti Suzuki,Baleno Delta 1.2 AT,2017,36000,Petrol,Automatic,Zirakpur,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,570000
Renault,Kiger RXT Turbo CVT,2021,13000,Petrol,Automatic,Dehradun,White,First,Individual,999 cc,99 bhp @ 5000 rpm,152 Nm @ 2200 rpm,FWD,3991,1750,1605,5,40,800000
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],2018,40000,Petrol,Manual,Kanpur,White,First,Individual,,,,,3655,1620,1675,5,32,440000
Mercedes-Benz,E-Class 200 K Classic,2007,39000,Petrol,Automatic,Ludhiana,Silver,Third,Individual,,,,,,,,,,509999
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],2013,45000,Petrol,Manual,Chennai,Grey,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32,315000
Maruti Suzuki,Alto LXi BS-III,2011,87513,Petrol,Manual,Salem,Blue,Second,Individual,796 cc,47@6200,62@3000,,3495,1475,1460,5,35,227000
Mercedes-Benz,S-Class 350 L,2011,26000,Petrol,Automatic,Delhi,Black,First,Individual,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226,2120,1479,5,90,1850000
Maruti Suzuki,S-Presso VXi CNG,2022,3800,CNG,Manual,Delhi,White,First,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3565,1520,1564,4,55,610000
Toyota,Innova 2.4 VX 8 STR [2016-2020],2018,35123,Diesel,Manual,Patna,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735,1830,1795,8,55,1995000
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],2021,21000,Diesel,Automatic,Delhi,Grey,First,Individual,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315,1800,1645,5,50,1875000
Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],2022,2670,Petrol,Automatic,Kolkata,White,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4300,1790,1635,5,50,1748999
Skoda,Rapid Ambition 1.6 TDI CR MT,2016,124000,Diesel,Manual,Coimbatore,Grey,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386,1699,1466,5,55,640000
Hyundai,Elite i20 Asta 1.2 (O) [2016],2016,9889,Petrol,Manual,Bangalore,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45,779000
Honda,City ZX CVT Petrol,2021,13000,Petrol,Automatic,Delhi,Brown,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,1450000
Tata,Nexon XZA Plus Petrol,2018,35000,Petrol,Automatic,Chennai,Orange,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994,1811,1607,5,44,890000
Maruti Suzuki,Baleno Zeta 1.2,2017,51145,Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,625000
Mercedes-Benz,GLS 350 d,2019,13000,Diesel,Automatic,Mumbai,White,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130,1934,1850,7,100,8500000
Audi,RS5 4.2 Coupe,2011,56000,Petrol,Automatic,Pune,Red,Third,Individual,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD,4649,1860,1366,5,64,2900000
Toyota,Innova 2.5 G 8 STR BS-III,2010,120000,Diesel,Manual,Ranchi,Silver,First,Individual,,,,,,,,,,434999
Mercedes-Benz,GLC 220 d Progressive,2018,45000,Diesel,Automatic,Mumbai,Grey,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656,1890,1639,5,66,4550000
Skoda,Superb L&K TDI AT,2017,82900,Diesel,Automatic,Coimbatore,Brown,First,Individual,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861,1864,1483,5,66,2500000
Maruti Suzuki,Alto 800 Lxi CNG,2014,56843,CNG + CNG,Manual,Navi Mumbai,White,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35,249000
Ford,Figo Duratec Petrol Titanium 1.2,2015,64000,Petrol,Manual,Pune,Grey,First,Individual,1196 cc,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795,1680,1427,5,45,270000
Maruti Suzuki,DZire VXi AMT,2019,9644,Petrol,Automatic,Pune,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1735,1515,5,37,825000
Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],2017,41624,Petrol,Automatic,Pune,White,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695,1600,1560,5,35,425000
Hyundai,Grand i10 Sportz U2 1.2 CRDi,2016,82844,Diesel,Manual,Hyderabad,Grey,First,Individual,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3765,1660,1520,5,43,459999
Mercedes-Benz,E-Class E250 Elegance,2011,78000,Petrol,Automatic,Ludhiana,White,Second,Individual,2497 cc,204@6100,245@5000,RWD,4868,1854,1471,5,80,980000
Renault,Duster RXL Petrol,2017,60444,Petrol,Manual,Bangalore,Red,First,Individual,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,4315,1822,1695,5,50,789000
BMW,3-Series 330i M Sport Edition,2022,6000,Petrol,Automatic,Raipur,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633,1811,1429,5,57,5100000
Mahindra,Scorpio S10,2014,125000,Diesel,Manual,Lucknow,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456,1820,1995,8,60,775000
Hyundai,Creta 1.6 SX Plus AT Petrol,2019,13000,Petrol,Automatic,Mumbai,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270,1780,1630,5,60,1400000
Maruti Suzuki,Ertiga VDi,2015,112000,Diesel,Manual,Chennai,Gold,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265,1695,1685,7,45,770000
Maruti Suzuki,Ritz Vdi BS-IV,2012,54948,Diesel,Manual,Mangalore,Silver,First,Individual,1248 cc,75@4000,190@2000,,3715,1680,1620,5,43,445000
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],2016,53300,Petrol,Manual,Pune,Maroon,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43,450000
Honda,City SV,2019,34000,Petrol,Manual,Delhi,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,840000
Mercedes-Benz,S-Class Maybach S 560,2021,21000,Petrol,Automatic,Gurgaon,Black,First,Individual,3982 cc,463 bhp @ 5250 rpm,700 Nm @ 2000 rpm,RWD,5462,1899,1498,4,70,18500000
Land Rover,Evoque HSE Dynamic,2017,25500,Diesel,Automatic,Pune,White,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360,2120,1635,5,57,4000000
Mahindra,XUV500 W8 1.99 [2016-2017],2015,157662,Diesel,Manual,Jaipur,Silver,Second,Individual,1997 cc,138 bhp @ 3750 rpm,320 Nm @ 1600 rpm,FWD,4585,1890,1785,7,70,690000
Mercedes-Benz,CLA 200 D Urban Sport,2018,20000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD,4630,1777,1432,5,56,2800000
Hyundai,Xcent SX 1.1 CRDi,2018,78900,Diesel,Manual,Vadodara,Silver,First,Individual,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD,3995,1660,1520,5,43,525000
Maruti Suzuki,Wagon R LXi CNG,2011,52000,CNG,Manual,Mumbai,Brown,First,Individual,998 cc,59@6200,77@3500,,3539,1475,1700,5,35,285000
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],2022,11000,Diesel,Automatic,Delhi,Black,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063,1860,1494,5,80,7780000
Skoda,Kodiaq Style 2.0 TDI 4x4 AT,2018,103000,Diesel,Automatic,Delhi,White,First,Individual,,,,,4697,1882,1665,7,63,1989999
Tata,Hexa XTA 4x2 7 STR,2017,95785,Diesel,Automatic,Hyderabad,Blue,First,Individual,2179 cc,154 bhp @ 4000 rpm,400 Nm @ 1700 rpm,RWD,4788,1903,1791,7,60,1200000
Ford,Ecosport Titanium 1.5L TDCi,2017,92000,Diesel,Manual,Agra,Brown,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998,1765,1647,5,52,620000
Jaguar,F-Pace Prestige,2019,43000,Diesel,Automatic,Delhi,Black,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4731,2071,1651,5,82,5200000
Mercedes-Benz,CLA 200 CDI Sport,2017,39328,Diesel,Automatic,Kolkata,Silver,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630,1777,1432,5,56,1998999
Toyota,Innova 2.4 ZX AT 7 STR,2020,18625,Diesel,Automatic,Mumbai,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,4735,1830,1795,7,55,2725000
Maruti Suzuki,Swift VXi [2014-2017],2019,26000,Petrol,Manual,Lucknow,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42,590000
MINI,Countryman Cooper D,2014,81000,Diesel,Automatic,Panvel,Purple,Second,Individual,1995 cc,112 bhp @,270 Nm @ 1750 rpm,FWD,4097,1789,1561,5,47,1489000
Maruti Suzuki,DZire ZDi Plus AMT,2018,92000,Diesel,Automatic,Ludhiana,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1735,1515,5,37,685000
Mahindra,Scorpio S3 2WD 7 STR,2019,38000,Diesel,Manual,Patna,White,First,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456,1820,1930,7,60,1121000
Tata,Manza Aqua Safire BS-IV,2012,93000,Petrol,Manual,Unnao,Silver,Second,Individual,1368 cc,90@6000,116@4750,,4413,1703,1550,5,44,114999
Maruti Suzuki,Wagon R VXI,2019,10340,Petrol,Manual,Delhi,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,545000
Audi,Q3 2.0 TDI quattro Premium,2015,47706,Diesel,Automatic,Ranchi,Black,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64,1350000
Maruti Suzuki,XL6 Alpha MT Petrol,2021,13400,Petrol,Manual,Mysore,White,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445,1775,1700,6,45,1299000
Ford,Aspire Titanium1.5 TDCi,2016,44613,Diesel,Manual,Ranchi,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3995,1695,1525,5,40,450000
Porsche,718 Cayman [2017-2020],2017,7000,Petrol,Automatic,Faridabad,Red,First,Individual,1988 cc,295 bhp @ 6500 rpm,380 Nm @ 1950 rpm,RWD,4379,1801,1295,2,54,9000000
Maruti Suzuki,Swift VXi [2014-2017],2019,29000,Petrol,Manual,Kolkata,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42,550000
BMW,3-Series 320d Luxury Line,2020,23000,Diesel,Automatic,Mumbai,White,First,Corporate,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57,4390000
Maruti Suzuki,Wagon R LXI CNG (O),2015,67580,CNG,Manual,Pune,White,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,445000
Hyundai,Verna 1.6 VTVT S,2015,42000,Petrol,Manual,Kolkata,Red,First,Individual,1591 cc,121 bhp @ 6300 rpm,155 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43,495000
Hyundai,Eon 1.0 Kappa Magna AirBag,2015,16205,Petrol,Manual,Pune,White,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1550,1510,5,32,360000
Maruti Suzuki,Grand Vitara 2015 2.0 AT,2007,92000,Petrol,Automatic,Mohali,Black,Third,Individual,1995 cc,120@5500,170@3500,AWD,4470,1810,1695,5,66,345000
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2016,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43,565000
Mercedes-Benz,GLE 300d 4MATIC LWB,2022,14000,Diesel,Automatic,Delhi,White,First,Individual,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4924,2157,1772,5,93,9390000
Mahindra,TUV300 T8 AMT mHAWK100,2017,69000,Diesel,Automatic,Delhi,Black,First,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3995,1835,1839,7,60,615000
Honda,City V Diesel,2015,114635,Diesel,Manual,Kolkata,Grey,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40,525000
BMW,X1 sDrive20d xLine,2018,50000,Diesel,Automatic,Delhi,Blue,Second,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63,2650000
BMW,X1 sDrive20d xLine,2019,29221,Diesel,Automatic,Bangalore,Blue,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454,2044,1545,5,63,3785000
Mercedes-Benz,S-Class 300,2012,158000,Petrol,Automatic,Chennai,Brown,First,Individual,,,,,,,,,,1500000
Audi,A6 2.0 TDI Premium,2012,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65,1175000
Mercedes-Benz,GLC 220d 4MATIC Progressive,2022,5500,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658,1890,1644,5,66,6400000
BMW,3-Series 320d Sport Line,2013,70000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,60,1450000
BMW,X5 xDrive 30d M Sport,2017,65341,Diesel,Automatic,Pune,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886,1938,1762,5,,4900000
Honda,City VX CVT Petrol,2022,32000,Petrol,Automatic,Delhi,Brown,First,Individual,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549,1748,1489,5,40,1390000
Ferrari,488 GTB,2018,9500,Petrol,Automatic,Delhi,Black,First,Individual,3902 cc,660 bhp @ 8000 rpm,760 Nm @ 3000 rpm,RWD,4568,1952,1213,2,78,35000000
Volkswagen,Tiguan Highline TDI,2020,17904,Diesel,Automatic,Mumbai,White,First,Individual,1968 cc,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD,4486,1839,1672,5,71,2990000
Land Rover,Evoque Pure SD4,2012,95000,Diesel,Automatic,Coimbatore,White,First,Individual,2179 cc,190 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4355,2120,1635,5,57,2150000
Maruti Suzuki,Wagon R LXi CNG,2013,72000,CNG,Manual,Mumbai,Brown,First,Individual,998 cc,59@6200,77@3500,,3539,1475,1700,5,35,315000
Maruti Suzuki,Zen LXi BS-II,2004,65082,Petrol,Manual,Kolkata,Yellow,First,Individual,,,,,,,,,,71001
Honda,Brio S MT,2012,66240,Petrol,Manual,Jaipur,Grey,Third,Individual,,,,,,,,,,295000
Mercedes-Benz,GLE 43 4MATIC [2017-2019],2018,25275,Petrol,Automatic,Hyderabad,Black,First,Individual,2996 cc,362 bhp @ 5500 rpm,520 Nm @ 2000 rpm,AWD,4891,2003,1719,5,93,8500000
Maruti Suzuki,Wagon R LXI CNG,2016,67850,CNG,Manual,Mumbai,Red,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,400000
Tata,Nano Base,2010,60000,Petrol,Manual,Gurgaon,White,First,Individual,624 cc,35@5250,48@3000,RWD,3099,1495,1652,4,15,49000
Mahindra,Bolero SLX 2WD,2012,88500,Diesel,Manual,Panchkula,White,Second,Individual,,,,,,,,,,379000
Maruti Suzuki,Swift VDi,2017,105000,Diesel,Manual,Pune,Silver,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850,1695,1530,5,42,610000
Hyundai,Creta SX 1.6 AT Petrol,2019,45000,Petrol,Automatic,Raipur,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270,1780,1665,5,55,1075000
Mercedes-Benz,E-Class E 220 d Avantgarde,2021,8000,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063,1860,1494,5,80,7500000
Toyota,Corolla Altis G AT Petrol,2018,38000,Petrol,Automatic,Mumbai,Gold,First,Corporate,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620,1775,1475,5,55,1321000
Maruti Suzuki,S-Cross Zeta 1.3,2020,55055,Diesel,Manual,Ludhiana,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4300,1785,1595,5,48,950000
Maruti Suzuki,Baleno Zeta 1.2,2021,22000,Petrol,Manual,Raipur,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,825000
Mitsubishi,Pajero 2.5 MT,2013,95000,Diesel,Manual,Bangalore,Blue,Second,Individual,2477 cc,176 bhp @ 4000 rpm,400 Nm @ 2000 rpm,AWD,4695,1815,1840,7,70,1300000
